DSC,Jaccard,Kappa,Hausdorff,Volume_T1mc,Volume_T1xFLAIR
0.9342661034846885,0.8766410701015606,0.9342420806740742,2.23606797749979,3752,3824
0.8658897886628482,0.7634970393591083,0.8658570462645224,2.23606797749979,2576,2485
0.9387755102040817,0.8846153846153846,0.9387632158972902,2.8284271247461903,2127,2038
0.968214607754734,0.9383875901245358,0.9682010024076444,2.23606797749979,4431,4439
0.9764117226590422,0.9539106145251397,0.9764061264602308,2.23606797749979,2803,2793
0.9579078974786414,0.9192161567686463,0.9578902795036793,2.23606797749979,4742,4854
0.9620897521768251,0.9269488900361383,0.9620777533389006,3.605551275463989,3724,3741
0.9444201312910284,0.8946932006633499,0.9444039997225139,2.8284271247461903,3554,3301
0.9206440483036228,0.8529568460309004,0.92063000775248,4.69041575982343,1737,1741
0.9319433516915814,0.8725598526703499,0.9319286871442121,3.0,2584,2500
