DSC,Jaccard,Kappa,Hausdorff,Volume_T1mc,Volume_T1xFLAIR
0.5035693613737218,0.3365136668385766,0.503470140823288,12.24744871391589,3752,1431
0.7730662689111443,0.6300798888502952,0.7730153931475048,4.123105625617661,2576,2116
0.8041518710734772,0.6724531749657378,0.8041181949397689,3.3166247903554,2127,1534
0.8870035657199066,0.7969509500662837,0.8869595875852235,3.0,4431,3701
0.7849024233326185,0.645958348040946,0.7848616415658126,13.152946437965905,2803,1860
0.8954850449220971,0.8107495881383855,0.8954452133900519,3.7416573867739413,4742,4050
0.8359756097560975,0.7181770560502881,0.835930826402767,6.4031242374328485,3724,2836
0.4716900808854832,0.3086350974930362,0.47161255254511136,14.52583904633395,3554,1144
0.6580502215657311,0.49036873968079253,0.6580068857918753,7.874007874011811,1737,971
0.43924392439243926,0.28143021914648214,0.4391887124127565,18.627936010197157,2584,749
