score,mean_file1,mean_file2,t_statistic,t_p_value,wilcoxon_statistic,wilcoxon_p_value,n_file1,n_file2
Jaccard,0.8887501690059322,0.5858585384447534,13.301331441514128,2.9521342064212867e-20,2080.0,1.7627490366353699e-12,64,64
DSC,0.9397458666641687,0.7171084100543159,10.993010567435347,1.3680707588063522e-16,2080.0,1.7627490366353699e-12,64,64
Volume_T1mc,3219.484375,3219.484375,,,0.0,,64,64
Volume_T1xFLAIR,3177.3125,2115.71875,13.55738589281176,1.206308391171767e-20,2080.0,1.7603197776875088e-12,64,64
Kappa,0.9400931515976669,0.7190767960815729,10.907092237244875,1.8965524913665852e-16,2080.0,1.7627490366353699e-12,64,64
Hausdorff,2.785302254738118,8.532841000837887,-8.423602009598337,3.2476020872673284e-12,0.0,1.7627490366353699e-12,64,64
